reportingyear,aggregate_level,county_code,district_code,school_code,countyname,districtname,schoolname,charter_school,dass,school_grade_span,teacher_experience_level,teacher_credential_level,subject_area,total_fte,clear_fte_count,out_of_field_fte_count,intern_fte_count,ineffective_fte_count,incomplete_fte_count,unknown_fte_count,n_a_fte_count,clear_fte_percent,out_of_field_fte_percent,intern_fte_percent,ineffective_fte_percent,incomplete_fte_percent,unknown_fte_fte_percent,n_a_fte_percent,cds
2023-24,C,48,NA,NA,Solano,NA,NA,All,All,ALL,ALL,ALL,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,All,All,ALL,ALL,FC,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,All,All,ALL,INEXP,ALL,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,All,All,ALL,INEXP,FC,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,All,No,ALL,ALL,ALL,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,All,No,ALL,ALL,FC,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,All,No,ALL,INEXP,ALL,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,All,No,ALL,INEXP,FC,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,No,All,ALL,ALL,ALL,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,No,All,ALL,ALL,FC,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,No,All,ALL,INEXP,ALL,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,No,All,ALL,INEXP,FC,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,No,No,ALL,ALL,ALL,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,No,No,ALL,ALL,FC,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,No,No,ALL,INEXP,ALL,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,No,No,ALL,INEXP,FC,AGRI,1,0,1,0,0,0,0,0,0,100,0,0,0,0,0,48000000000000
2023-24,C,48,NA,NA,Solano,NA,NA,All,All,ALL,EXP,FC,ARTS,38.62,33.96,3.39,0,0.19,0.56,0,0.53,87.9,8.8,0,0.5,1.5,0,1.4,48000000000000
