cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	change	statuslevel	changelevel	color	box	smalldenom	currnsizemet	priornsizemet	accountabilitymet	certifyflag	priorcertifyflag	dataerrorflag	indicator	reportingyear
00000000000000	X	State of California	State of California					AA	72803	199965	36.4	87624	204028	42.9	-6.5	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					AI	6196	17174	36.1	7581	17662	42.9	-6.8	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					ALL	969864	3989291	24.3	1201696	4009260	30.0	-5.7	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					AS	39715	394124	10.1	44622	387911	11.5	-1.4	2	4	3	190		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					EL	246016	936912	26.3	318343	947569	33.6	-7.3	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					FI	11719	84796	13.8	14018	86688	16.2	-2.4	2	4	3	190		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					FOS	9256	27540	33.6	11902	28245	42.1	-8.5	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					HI	632497	2229431	28.4	800196	2234061	35.8	-7.4	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					HOM	65281	168554	38.7	67474	149609	45.1	-6.4	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					MR	51151	237115	21.6	58167	231840	25.1	-3.5	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					PI	6145	16337	37.6	7297	16623	43.9	-6.3	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					SED	761457	2544027	29.9	938514	2506779	37.4	-7.5	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					SWD	194616	587635	33.1	222219	560749	39.6	-6.5	1	5	3	250		Y	Y	Y				CHRO	2023
00000000000000	X	State of California	State of California					WH	149638	810349	18.5	182191	830447	21.9	-3.5	2	5	3	200		Y	Y	Y				CHRO	2023
