cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	type	studentgroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	safetynet	change	statuslevel	changelevel	color	box	certifyflag	reportingyear
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	AS		5			4		Y		0	0	0	0		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	ALL	15	228	6.6	2	222	0.9	N	5.7	1	1	1	210		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	AA		1			2		Y		0	0	0	0		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	EL		8			7		Y		0	0	0	0		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	FOS		3			3		Y		0	0	0	0		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	HI	10	154	6.5	2	149	1.3	N	5.2	1	1	1	210		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	SWD	5	27	18.5	2	34	5.9	Y	12.6	1	2	0	0		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	SED	11	132	8.3	0	122	0	Y	8.3	1	2	1	220		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	MR		3			3		Y		0	0	0	0		2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ES	WH	5	65	7.7	0	64	0	Y	7.7	1	2	1	220		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	AS	0	120	0	0	134	0	Y	0	5	3	5	30		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	ALL	0	646	0	0	721	0	N	0	5	3	5	30		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	AA		8		0	12	0	Y		0	0	0	0		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	EL	0	48	0	0	50	0	Y	0	5	3	5	30		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	FI	0	20	0	0	21	0	Y	0	5	3	0	0		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	FOS		1			2		Y		0	0	0	0		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	HI	0	93	0	0	104	0	Y	0	5	3	5	30		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	HOM		1			1		Y		0	0	0	0		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	AI		2					Y		0	0	0	0		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	PI		2			4		Y		0	0	0	0		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	SWD	0	58	0	0	59	0	Y	0	5	3	5	30		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	SED	0	82	0	0	85	0	Y	0	5	3	5	30		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	MR	0	44	0	0	42	0	Y	0	5	3	5	30		2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ES	WH	0	357	0	0	404	0	N	0	5	3	5	30		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	AS	3	21	14.3	3	22	13.6	Y	0.6	1	2	0	0		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	ALL	75	918	8.2	66	967	6.8	N	1.3	2	2	2	170		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	AA		10		0	14	0	Y		0	0	0	0		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	EL	8	113	7.1	13	102	12.7	Y	-5.7	3	4	4	140		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	FI		8			7		Y		0	0	0	0		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	FOS		4			3		Y		0	0	0	0		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	HI	51	575	8.9	43	583	7.4	N	1.5	2	2	2	170		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	HOM	1	13	7.7		9		Y		3	0	0	0		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	AI		3			3		Y		0	0	0	0		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	PI		2			5		Y		0	0	0	0		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	SWD	20	119	16.8	10	130	7.7	Y	9.1	1	2	1	220		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	SED	54	572	9.4	42	552	7.6	N	1.8	2	2	2	170		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	MR	2	20	10		10		Y		2	0	0	0		2019
34673480100040	S	Robert L. McCaffrey Middle	Galt Joint Union Elementary	Sacramento				MS	WH	18	279	6.5	19	323	5.9	N	0.6	3	2	2	120		2019
32103220100057	S	Plumas County Community	Plumas County Office of Education	Plumas			Y	HS	ALL	8	14	57.1		10		Y		1	0	0	0		2019
32103220100057	S	Plumas County Community	Plumas County Office of Education	Plumas			Y	HS	AA		1			1		Y		0	0	0	0		2019
32103220100057	S	Plumas County Community	Plumas County Office of Education	Plumas			Y	HS	FOS		2			2		Y		0	0	0	0		2019
32103220100057	S	Plumas County Community	Plumas County Office of Education	Plumas			Y	HS	HI		2			1		Y		0	0	0	0		2019
32103220100057	S	Plumas County Community	Plumas County Office of Education	Plumas			Y	HS	AI		2					Y		0	0	0	0		2019
32103220100057	S	Plumas County Community	Plumas County Office of Education	Plumas			Y	HS	SWD		2			3		Y		0	0	0	0		2019
32103220100057	S	Plumas County Community	Plumas County Office of Education	Plumas			Y	HS	SED		10			5		Y		0	0	0	0		2019
32103220100057	S	Plumas County Community	Plumas County Office of Education	Plumas			Y	HS	WH		9			8		Y		0	0	0	0		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	AS		1			2		Y		0	0	0	0		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	ALL	13	365	3.6	24	351	6.8	N	-3.3	3	5	4	150		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	AA	0	16	0	2	17	11.8	Y	-11.8	5	4	0	0		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	EL	6	69	8.7	8	55	14.5	Y	-5.8	2	4	3	190		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	FI		1			1		Y		0	0	0	0		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	FOS		1			2		Y		0	0	0	0		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	HI	13	337	3.9	21	316	6.6	N	-2.8	3	5	4	150		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	PI		1			1		Y		0	0	0	0		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	SWD	4	32	12.5	3	24	12.5	Y	0	1	3	0	0		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	SED	11	328	3.4	22	317	6.9	N	-3.6	3	5	4	150		2019
01612590100065	S	Oakland Unity High	Oakland Unified	Alameda	Y			HS	MR		9		1	14	7.1	Y		0	0	0	0		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	AS	0	29	0	0	28	0	Y	0	5	3	0	0		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	ALL	163	3145	5.2	254	3191	8	N	-2.8	3	5	4	150		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	AA	49	428	11.4	91	476	19.1	N	-7.7	1	5	3	250		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	EL	25	338	7.4	38	390	9.7	N	-2.3	2	5	3	200		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	FI	0	25	0	0	35	0	Y	0	5	3	0	0		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	FOS	10	72	13.9	15	85	17.6	Y	-3.8	1	4	2	240		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	HI	103	2452	4.2	149	2448	6.1	N	-1.9	3	4	4	140		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	HOM	3	19	15.8	5	16	31.3	Y	-15.5	1	4	0	0		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	AI	2	11	18.2		8		Y		1	0	0	0		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	PI		4			4		Y		0	0	0	0		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	SWD	64	469	13.6	83	457	18.2	N	-4.5	1	5	3	250		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	SED	147	2611	5.6	225	2622	8.6	N	-3	3	5	4	150		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	MR	4	74	5.4	8	67	11.9	Y	-6.5	3	4	4	140		2019
19642460100081	S	William J. (Pete) Knight High	Antelope Valley Union High	Los Angeles				HS	WH	5	122	4.1	5	125	4	Y	0.1	3	3	3	130		2019
36678190100107	S	Vista Grande Elementary	Ontario-Montclair	San Bernardino				ES	AS	0	18	0	2	21	9.5	Y	-9.5	5	4	0	0		2019
36678190100107	S	Vista Grande Elementary	Ontario-Montclair	San Bernardino				ES	ALL	4	482	0.8	13	489	2.7	N	-1.8	4	5	5	100		2019
36678190100107	S	Vista Grande Elementary	Ontario-Montclair	San Bernardino				ES	AA	1	36	2.8	3	28	10.7	Y	-7.9	3	4	0	0		2019
36678190100107	S	Vista Grande Elementary	Ontario-Montclair	San Bernardino				ES	EL	0	70	0	3	67	4.5	Y	-4.5	5	4	5	40		2019
36678190100107	S	Vista Grande Elementary	Ontario-Montclair	San Bernardino				ES	FI		3			1		Y		0	0	0	0		2019
