cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	type	studentgroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	change	statuslevel	changeLevel	color	box	smalldenom	currnsizemet	priornsizemet	accountabilitymet	certifyflag	priorcertifyflag	indicator	reportingyear
00000000000000	X	State of California	State of California					UD	AA	25441	303232	8.4	27038	308426	8.8	-0.4	1	4	2	240		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	AI	1860	26529	7.0	1995	26981	7.4	-0.4	2	4	3	190		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	ALL	193100	6021915	3.2	212681	6019472	3.5	-0.3	3	4	4	140		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	AS	6132	595552	1.0	6162	582802	1.1	0.0	5	3	5	30		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	EL	39829	1184673	3.4	44852	1210425	3.7	-0.3	3	4	4	140		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	FI	1550	132528	1.2	1767	134975	1.3	-0.1	4	3	4	80		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	FOS	5181	39269	13.2	5706	41901	13.6	-0.4	1	4	2	240		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	HI	114884	3380960	3.4	128041	3375948	3.8	-0.4	3	4	4	140		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	HOM	16275	286821	5.7	15899	246480	6.5	-0.8	2	4	3	190		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	LTEL	24291	300802	8.1	29077	324137	9.0	-0.9	1	4	2	240		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	MR	10303	342270	3.0	10864	329799	3.3	-0.3	3	4	4	140		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	PI	1093	24983	4.4	1256	25508	4.9	-0.5	3	4	4	140		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	SED	158588	3919858	4.0	171622	3792885	4.5	-0.5	3	4	4	140		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	SWD	49001	903052	5.4	51719	874795	5.9	-0.5	2	4	3	190		Y	Y	Y			SUSP	2024
00000000000000	X	State of California	State of California					UD	WH	31837	1215894	2.6	35558	1235033	2.9	-0.3	3	4	4	140		Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	AA	0	209	0.0	2	225	0.9	-0.9	5	4	5	40		Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	AI		5			6			0	0	0	0	Y						SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	ALL	1	523	0.2	2	492	0.4	-0.2	5	3	5	30		Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	AS	1	15	6.7	0	23	0.0	6.7	2	2	0	0	Y						SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	EL	1	122	0.8	0	101	0.0	0.8	5	2	4	20	Y	Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	FI		2			6			0	0	0	0	Y						SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	FOS	0	86	0.0	0	76	0.0	0.0	5	3	5	30	Y	Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	HI	0	230	0.0	0	193	0.0	0.0	5	3	5	30		Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	HOM	0	30	0.0	1	52	1.9	-1.9	5	4	5	40	Y	Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	LTEL	1	85	1.2	0	70	0.0	1.2	4	2	3	70	Y	Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	MR	0	31	0.0	0	19	0.0	0.0	5	3	0	0	Y	Y					SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	PI		7			7			0	0	0	0	Y						SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	SED	0	492	0.0	2	475	0.4	-0.4	5	4	5	40		Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	SWD	0	144	0.0	1	122	0.8	-0.8	5	4	5	40	Y	Y	Y	Y			SUSP	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	WH	0	24	0.0	0	13	0.0	0.0	5	3	0	0	Y						SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	AA	29	96	30.2	28	105	26.7	3.5	1	2	1	220	Y	Y	Y	Y			SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	AI		1			1			0	0	0	0	Y						SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	ALL	47	252	18.7	47	294	16.0	2.7	1	1	1	210		Y	Y	Y			SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	AS		2			2			0	0	0	0	Y						SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	EL	6	50	12.0	9	62	14.5	-2.5	1	4	2	240	Y	Y	Y	Y			SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	FOS		1			1			0	0	0	0	Y						SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	HI	9	117	7.7	11	143	7.7	0.0	2	3	2	180	Y	Y	Y	Y			SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	HOM		1			2			0	0	0	0	Y						SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	LTEL	5	38	13.2	8	48	16.7	-3.5	1	4	2	240	Y	Y	Y	Y			SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	MR	8	22	36.4	3	21	14.3	22.1	1	2	0	0	Y						SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	PI		1			1			0	0	0	0	Y						SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	SED	39	200	19.5	41	243	16.9	2.6	1	1	1	210		Y	Y	Y			SUSP	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	SWD	12	45	26.7	16	59	27.1	-0.5	1	4	2	240	Y	Y	Y	Y			SUSP	2024
