cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	studentgroup_pct	currdenom	ap	ap_pct	ib	ib_pct	ag	ag_pct	cte	cte_pct	ag_cte	ag_cte_pct	one_college_course	one_college_course_pct	two_college_course	two_college_course_pct	one_milsci_course	one_milsci_course_pct	two_milsci_course	two_milsci_course_pct	non_reg_pre	non_reg_pre_pct	reg_pre	reg_pre_pct	statefedjobs	statefedjobs_pct	ssb	ssb_pct	tcbwe	tcbwe_pct	twbe	twbe_pct	tcbwe_and_twbe	tcbwe_and_twbe_pct	reportingyear
00000000000000	X	State of California	State of California					AA	5.5	28044	1110	4.0	88	0.3	8756	31.2	3322	11.8	1837	6.6	2593	9.2	1475	5.3	612	2.2	251	0.9	17	0.1	33	0.1	27	0.1	569	2.0	65	0.2	57	0.2	31	0.1	2022
00000000000000	X	State of California	State of California					AI	0.5	2690	118	4.4	11	0.4	620	23.0	368	13.7	163	6.1	285	10.6	158	5.9	43	1.6	18	0.7	1	0.0	4	0.1	1	0.0	80	3.0	7	0.3	6	0.2	4	0.1	2022
00000000000000	X	State of California	State of California					ALL	100.0	512524	70995	13.9	3887	0.8	223326	43.6	85182	16.6	50405	9.8	69771	13.6	41640	8.1	9647	1.9	4685	0.9	462	0.1	1016	0.2	130	0.0	51230	10.0	923	0.2	741	0.1	524	0.1	2022
00000000000000	X	State of California	State of California					AS	9.3	47562	21622	45.5	760	1.6	34865	73.3	8579	18.0	7120	15.0	8274	17.4	4666	9.8	850	1.8	465	1.0	110	0.2	88	0.2	1	0.0	9708	20.4	54	0.1	51	0.1	38	0.1	2022
00000000000000	X	State of California	State of California					EL	14.5	74304	1637	2.2	76	0.1	13249	17.8	7449	10.0	2710	3.6	5297	7.1	2671	3.6	1491	2.0	660	0.9	37	0.0	80	0.1	28	0.0	2390	3.2	262	0.4	227	0.3	145	0.2	2022
00000000000000	X	State of California	State of California					FI	2.7	13758	3130	22.8	234	1.7	9081	66.0	2616	19.0	2036	14.8	2383	17.3	1493	10.9	470	3.4	280	2.0	30	0.2	11	0.1	3	0.0	1250	9.1	25	0.2	26	0.2	16	0.1	2022
00000000000000	X	State of California	State of California					FOS	1.2	6010	68	1.1	8	0.1	609	10.1	366	6.1	130	2.2	337	5.6	156	2.6	124	2.1	45	0.7	2	0.0	9	0.1	3	0.0	81	1.3	24	0.4	17	0.3	12	0.2	2022
00000000000000	X	State of California	State of California					HI	55.4	284086	19046	6.7	1433	0.5	101259	35.6	46971	16.5	24806	8.7	34692	12.2	20488	7.2	5808	2.0	2669	0.9	178	0.1	609	0.2	82	0.0	28969	10.2	553	0.2	416	0.1	301	0.1	2022
00000000000000	X	State of California	State of California					HOM	7.0	35656	1186	3.3	111	0.3	7195	20.2	3932	11.0	1772	5.0	3275	9.2	1825	5.1	766	2.1	316	0.9	14	0.0	28	0.1	18	0.1	1609	4.5	60	0.2	43	0.1	31	0.1	2022
00000000000000	X	State of California	State of California					MR	3.4	17265	3558	20.6	187	1.1	8930	51.7	2550	14.8	1720	10.0	2478	14.4	1474	8.5	296	1.7	158	0.9	21	0.1	28	0.2	3	0.0	1458	8.4	17	0.1	26	0.2	14	0.1	2022
00000000000000	X	State of California	State of California					PI	0.5	2454	171	7.0	17	0.7	805	32.8	364	14.8	196	8.0	276	11.2	153	6.2	66	2.7	27	1.1	2	0.1	5	0.2	2	0.1	77	3.1	1	0.0	2	0.1	0	0.0	2022
00000000000000	X	State of California	State of California					SED	70.3	360329	26592	7.4	1810	0.5	126277	35.0	57675	16.0	30521	8.5	44701	12.4	25986	7.2	7772	2.2	3614	1.0	237	0.1	771	0.2	124	0.0	30616	8.5	697	0.2	545	0.2	371	0.1	2022
00000000000000	X	State of California	State of California					SWD	13.1	66929	741	1.1	36	0.1	9265	13.8	7149	10.7	1759	2.6	4430	6.6	2344	3.5	1496	2.2	708	1.1	48	0.1	96	0.1	30	0.0	715	1.1	923	1.4	741	1.1	524	0.8	2022
00000000000000	X	State of California	State of California					WH	22.0	112981	21740	19.2	1138	1.0	57687	51.1	20004	17.7	12276	10.9	18374	16.3	11527	10.2	1438	1.3	789	0.7	102	0.1	237	0.2	10	0.0	8881	7.9	191	0.2	153	0.1	118	0.1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		AA	40.6	41	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	2.4	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		AI	1.0	1																																	2022
