cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	studentgroup_pct	currdenom	currstatus	statuslevel	currnsizemet	curr_prep	curr_prep_pct	curr_prep_summative	curr_prep_summative_pct	curr_prep_apexam	curr_prep_apexam_pct	curr_prep_ibexam	curr_prep_ibexam_pct	curr_prep_collegecredit	curr_prep_collegecredit_pct	curr_prep_agplus	curr_prep_agplus_pct	curr_prep_cteplus	curr_prep_cteplus_pct	curr_prep_ssb	curr_prep_ssb_pct	curr_prep_milsci	curr_prep_milsci_pct	curr_prep_reg_pre	curr_prep_reg_pre_pct	curr_prep_non_reg_pre	curr_prep_non_reg_pre_pct	curr_prep_non_reg_pre_dass	curr_prep_non_reg_pre_dass_pct	curr_prep_statefedjobs_dass	curr_prep_statefedjobs_dass_pct	curr_prep_trans_classwk	curr_prep_trans_classwk_pct	curr_aprep	curr_aprep_pct	curr_aprep_summative	curr_aprep_summative_pct	curr_aprep_collegecredit	curr_aprep_collegecredit_pct	curr_aprep_ag	curr_aprep_ag_pct	curr_aprep_cte	curr_aprep_cte_pct	curr_aprep_milsci	curr_aprep_milsci_pct	curr_aprep_non_reg_pre	curr_aprep_non_reg_pre_pct	curr_aprep_statefedjobs_dass	curr_aprep_statefedjobs_dass_pct	curr_aprep_trans_classwk	curr_aprep_trans_classwk_pct	curr_nprep	curr_nprep_pct	indicator	reportingyear
00000000000000	X	State of California	State of California					AA	5.2	25952	25.1	2	Y	6511	25.1	2013	30.9	1101	16.9	75	1.2	1407	21.6	5473	84.1	1327	20.4	488	7.5	40	0.6	33	0.5	15	0.2	0	0.0	14	0.2	36	0.6	5538	21.3	1023	18.5	465	8.4	3120	56.3	1119	20.2	146	2.6	13	0.2	7	0.1	74	1.3	13903	53.6	CCI	2023
00000000000000	X	State of California	State of California					AI	0.5	2426	26.5	2	Y	642	26.5	248	38.6	123	19.2	10	1.6	171	26.6	482	75.1	169	26.3	64	10.0	5	0.8	3	0.5	1	0.2	0	0.0	0	0.0	3	0.5	450	18.5	138	30.7	49	10.9	134	29.8	157	34.9	7	1.6	1	0.2	1	0.2	8	1.8	1334	55.0	CCI	2023
00000000000000	X	State of California	State of California					ALL	100.0	495972	43.9	3	Y	217824	43.9	105671	48.5	72606	33.3	3376	1.5	39325	18.1	182606	83.8	50356	23.1	50721	23.3	1619	0.7	890	0.4	527	0.2	6	0.0	129	0.1	544	0.2	92346	18.6	25331	27.4	9175	9.9	39815	43.1	24652	26.7	2051	2.2	103	0.1	67	0.1	966	1.0	185802	37.5	CCI	2023
00000000000000	X	State of California	State of California					AS	9.3	46243	75.8	5	Y	35045	75.8	25868	73.8	21897	62.5	701	2.0	4508	12.9	32080	91.5	7889	22.5	9074	25.9	291	0.8	36	0.1	88	0.3	0	0.0	3	0.0	45	0.1	4560	9.9	1564	34.3	311	6.8	2411	52.9	766	16.8	72	1.6	10	0.2	1	0.0	52	1.1	6638	14.4	CCI	2023
00000000000000	X	State of California	State of California					EL	14.6	72599	15.3	2	Y	11128	15.3	1848	16.6	1659	14.9	64	0.6	2460	22.1	8341	75.0	2025	18.2	1930	17.3	57	0.5	115	1.0	37	0.3	1	0.0	24	0.2	115	1.0	13269	18.3	2000	15.1	1641	12.4	5578	42.0	4454	33.6	439	3.3	21	0.2	12	0.1	255	1.9	48202	66.4	CCI	2023
00000000000000	X	State of California	State of California					FI	2.7	13265	65.2	4	Y	8653	65.2	5228	60.4	3218	37.2	158	1.8	1486	17.2	7799	90.1	2048	23.7	1201	13.9	123	1.4	19	0.2	10	0.1	1	0.0	0	0.0	13	0.2	2189	16.5	714	32.6	139	6.3	1186	54.2	355	16.2	63	2.9	3	0.1	2	0.1	23	1.1	2423	18.3	CCI	2023
00000000000000	X	State of California	State of California					FOS	1.1	5576	11.6	2	Y	645	11.6	166	25.7	73	11.3	5	0.8	153	23.7	429	66.5	125	19.4	85	13.2	10	1.6	6	0.9	6	0.9	0	0.0	10	1.6	10	1.6	700	12.6	178	25.4	93	13.3	240	34.3	186	26.6	46	6.6	3	0.4	4	0.6	16	2.3	4231	75.9	CCI	2023
00000000000000	X	State of California	State of California					HI	56.0	277711	35.5	3	Y	98696	35.5	33081	33.5	19718	20.0	1160	1.2	19520	19.8	79451	80.5	23459	23.8	29382	29.8	671	0.7	629	0.6	349	0.4	4	0.0	92	0.1	284	0.3	56523	20.4	14201	25.1	5963	10.5	23196	41.0	16793	29.7	1389	2.5	56	0.1	46	0.1	622	1.1	122492	44.1	CCI	2023
00000000000000	X	State of California	State of California					HOM	6.8	33893	20.4	2	Y	6930	20.4	2202	31.8	1151	16.6	90	1.3	1518	21.9	5132	74.1	1682	24.3	1517	21.9	73	1.1	43	0.6	17	0.2	2	0.0	22	0.3	33	0.5	5500	16.2	1493	27.1	776	14.1	1759	32.0	1716	31.2	181	3.3	5	0.1	11	0.2	50	0.9	21463	63.3	CCI	2023
00000000000000	X	State of California	State of California					MR	3.6	18070	52.9	3	Y	9554	52.9	5768	60.4	4027	42.1	201	2.1	1621	17.0	8228	86.1	2035	21.3	1538	16.1	89	0.9	17	0.2	5	0.1	0	0.0	6	0.1	24	0.3	3046	16.9	998	32.8	267	8.8	1464	48.1	558	18.3	65	2.1	4	0.1	0	0.0	30	1.0	5470	30.3	CCI	2023
