cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currnumer	currdenom	currstatus	statuslevel	certifyflag	dataerrorflag	reportingyear
00000000000000	X	State of California	State of California	 	 	 	 	AA	87624	204028	42.9	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	AI	7581	17662	42.9	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	ALL	1201696	4009260	30	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	AS	44622	387911	11.5	2	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	EL	318343	947569	33.6	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	FI	14018	86688	16.2	2	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	FOS	11902	28245	42.1	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	HI	800196	2234061	35.8	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	HOM	67474	149609	45.1	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	MR	58167	231840	25.1	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	PI	7297	16623	43.9	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	SED	938514	2506779	37.4	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	SWD	222219	560749	39.6	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	WH	182191	830447	21.9	1	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	AA		3		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	ALL		7		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	EL		2		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	FOS		5		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	HI		3		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	HOM		2		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	MR		1		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	SED		7		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	SWD		3		0	 	 	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	AA	55	69	79.7	1	 	 	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	ALL	97	130	74.6	1	 	 	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	EL	11	17	64.7	1	 	 	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	FOS		1		0	 	 	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	HI	21	30	70	1	 	 	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	MR	18	26	69.2	1	 	 	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	SED	74	101	73.3	1	 	 	2022
