cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	change	statuslevel	changelevel	color	box	smalldenom	fiveyrnumer	currnsizemet	priornsizemet	accountabilitymet	indicator	reportingyear
00000000000000	X	State of California	State of California					AA	21363	27002	79.1	20886	26611	78.5	0.6	2	3	2	180	N	864	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					AI	2006	2504	80.1	1975	2482	79.6	0.5	3	3	3	130	N	61	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					ALL	448696	517434	86.7	435295	503548	86.4	0.3	3	3	3	130	N	10631	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					AS	44511	48266	92.2	43949	46501	94.5	-2.3	4	2	3	70	N	401	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					EL	61999	79620	77.9	55151	75060	73.5	4.4	2	4	3	190	N	3185	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					FI	12426	13046	95.2	12600	13311	94.7	0.6	5	3	5	30	N	102	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					FOS	3901	5936	65.7	3713	5871	63.2	2.5	1	4	1	240	N	342	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					HI	250759	293952	85.3	238377	282975	84.2	1.1	3	4	4	140	N	7277	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					HOM	29720	39280	75.7	25844	35069	73.7	2.0	2	4	3	190	N	1584	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					LTEL	46206	57214	80.8	40325	51473	78.3	2.4	3	4	4	140	N	1905	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					MR	17223	19495	88.3	16175	18248	88.6	-0.3	3	3	3	130	N	287	Y	Y	Y	GRAD	2024
00000000000000	X	State of California	State of California					PI	1879	2260	83.1	1960	2318	84.6	-1.4	3	2	2	120	N	51	Y	Y	Y	GRAD	2024
