cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currdenom	currstatus	priordenom	priorstatus	change	statuslevel	changelevel	color	box	hscutpoints	curradjustment	prioradjustment	pairshare_method	notestflag	ReportingYear
00000000000000	X	State of California	State of California					AA	168981	-87.9	174076	-90.7	2.8	2	3	2	180						2019
00000000000000	X	State of California	State of California					AI	15764	-69.6	16826	-72.4	2.8	2	3	2	180						2019
00000000000000	X	State of California	State of California					ALL	3183082	-33.5	3197303	-36.4	2.9	2	3	2	180						2019
00000000000000	X	State of California	State of California					AS	294529	59.8	295422	55.9	3.9	5	4	5	40						2019
00000000000000	X	State of California	State of California					CAA	32059	-37.2	30958	-39.6	2.4	2	3	0	0						2019
00000000000000	X	State of California	State of California					EL	967321	-68.6	992289	-70.7	2.2	2	3	2	180						2019
00000000000000	X	State of California	State of California					ELO	502199	-106.7	522179	-106.9	0.2	1	3	0	0						2019
00000000000000	X	State of California	State of California					EO	1813184	-22.7	1808708	-25.4	2.7	3	3	0	0						2019
00000000000000	X	State of California	State of California					FI	76613	18	71916	12.5	5.6	4	4	4	90						2019
00000000000000	X	State of California	State of California					FOS	19537	-107.2	21382	-112.3	5.1	1	4	2	240			-0.5			2019
00000000000000	X	State of California	State of California					HI	1753412	-62.2	1753826	-65.6	3.4	2	4	3	190						2019
00000000000000	X	State of California	State of California					HOM	119179	-77.7	116357	-80.6	2.9	2	3	2	180						2019
00000000000000	X	State of California	State of California					MR	118915	2.5	119373	1.6	0.9	4	3	4	80						2019
00000000000000	X	State of California	State of California					PI	14496	-49.8	14990	-51.9	2.1	2	3	2	180						2019
00000000000000	X	State of California	State of California					RFP	465122	-27.3	470110	-30.6	3.2	2	4	0	0						2019
00000000000000	X	State of California	State of California					SBA	3151023	-33.5	3166345	-36.4	2.9	2	3	0	0						2019
00000000000000	X	State of California	State of California					SED	1997230	-63.7	2000475	-67.1	3.4	2	4	3	190						2019
00000000000000	X	State of California	State of California					SWD	417236	-119.4	392171	-126	6.6	1	4	2	240						2019
00000000000000	X	State of California	State of California					WH	716269	1.4	739202	-1.3	2.7	4	3	4	80						2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		AA	1		2			0	0	0	0						2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		ALL	5		20	-242		0	0	0	0			-13			2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		EL	1		8			0	0	0	0						2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		ELO	1		8			0	0	0	0						2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		EO	4		8			0	0	0	0						2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		HI	4		14	-238.8		0	0	0	0			-10.25			2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		SBA	5		20	-229		0	0	0	0						2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		SED	3		16	-246.7		0	0	0	0			-13.5			2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		SWD	2		4			0	0	0	0						2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AA	29	-157.3	30	-99.4	-57.9	1	1	0	0	Y	-0.25				2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AI	1		0			0	0	0	0	Y					2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			ALL	83	-130.7	93	-85	-45.7	1	1	1	210	Y					2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AS	3		1			0	0	0	0	Y					2019
