cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currdenom	currstatus	statuslevel	hscutpoints	pairshare_method	prate_enrolled	prate_tested	prate	numPRLOSS	currdenom_withoutPRLOSS	currstatus_withoutPRLOSS	reportingyear
00000000000000	X	State of California	State of California	 	 	 	 	AA	151219	-106.9	1	 	 	160528	151369	94	330	150889	-106.6	2022
00000000000000	X	State of California	State of California	 	 	 	 	AI	13132	-90.4	2	 	 	13954	12996	93	191	12941	-88.2	2022
00000000000000	X	State of California	State of California	 	 	 	 	ALL	2977879	-51.7	2	 	 	3109681	3006422	97		2977879	-51.7	2022
00000000000000	X	State of California	State of California	 	 	 	 	AS	290443	48.4	5	 	 	300113	294812	98		290443	48.4	2022
00000000000000	X	State of California	State of California	 	 	 	 	CAA	28899	-41.8	2	 	 					28899	-41.8	2022
00000000000000	X	State of California	State of California	 	 	 	 	EL	806350	-92.0	2	 	 	851979	832220	98		806350	-92.0	2022
00000000000000	X	State of California	State of California	 	 	 	 	ELO	511578	-122.3	1	 	 	552447	537115	97		511578	-122.3	2022
00000000000000	X	State of California	State of California	 	 	 	 	EO	1748522	-40.4	2	 	 	1822208	1751021	96		1748522	-40.4	2022
00000000000000	X	State of California	State of California	 	 	 	 	FI	70602	2.7	4	 	 	72570	71044	98		70602	2.7	2022
00000000000000	X	State of California	State of California	 	 	 	 	FOS	18506	-126.3	1	 	 	19752	18212	92	454	18052	-123.3	2022
00000000000000	X	State of California	State of California	 	 	 	 	HI	1672671	-83.4	2	 	 	1742359	1691593	97		1672671	-83.4	2022
00000000000000	X	State of California	State of California	 	 	 	 	HOM	98179	-101.8	1	 	 	106595	101656	95		98179	-101.8	2022
00000000000000	X	State of California	State of California	 	 	 	 	MR	125924	-9.9	3	 	 	131330	126206	96		125924	-9.9	2022
00000000000000	X	State of California	State of California	 	 	 	 	PI	12655	-71.3	2	 	 	13404	12785	95		12655	-71.3	2022
00000000000000	X	State of California	State of California	 	 	 	 	RFP	294772	-39.3	2	 	 	299532	295105	99		294772	-39.3	2022
00000000000000	X	State of California	State of California	 	 	 	 	SBA	2948980	-51.8	2	 	 					2948980	-51.8	2022
00000000000000	X	State of California	State of California	 	 	 	 	SED	1852279	-84.0	2	 	 	1934697	1871599	97		1852279	-84.0	2022
00000000000000	X	State of California	State of California	 	 	 	 	SWD	414963	-130.8	1	 	 	443920	411388	93	8117	406846	-128.5	2022
00000000000000	X	State of California	State of California	 	 	 	 	WH	615011	-13.4	3	 	 	646754	618333	96		615011	-13.4	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	AA	6		0	 	 	11	7	64	4	2		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	AI	1		0	 	 	1	1	100		1		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	ALL	21	-219.0	1	 	 	34	23	68	10	11	-194.4	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	EL	5		0	 	 	9	8	89	1	4		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	ELO	5		0	 	 	9	8	89	1	4		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	EO	11	-231.6	1	 	 	17	9	53	8	3		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	FI	1		0	 	 	1	1	100		1		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	FOS	3		0	 	 	6	3	50	3	0		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	HI	11	-227.6	1	 	 	17	12	71	5	6		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	HOM	3		0	 	 	7	6	86	1	2		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	MR	1		0	 	 	2	1	50	1	0		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	PI	1		0	 	 	1	1	100		1		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	SBA	11	-194.4	1	 	 					11	-194.4	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	SED	20	-217.6	1	 	 	32	22	69	9	11	-194.4	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	SWD	6		0	 	 	9	5	56	4	2		2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	WH	1		0	 	 	1	0	0	1	0		2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	AA	90	-148.4	1	 	 	94	90	96		90	-148.4	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	AI	1		0	 	 	1	1	100		1		2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	ALL	184	-136.6	1	 	 	191	186	97		184	-136.6	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	AS	1		0	 	 	1	1	100		1		2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	EL	41	-142.7	1	 	 	42	42	100		41	-142.7	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	ELO	27	-155.0	1	 	 	28	28	100		27	-155.0	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	EO	119	-139.2	1	 	 	125	120	96		119	-139.2	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	FOS	2		0	 	 	2	2	100		2		2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	HI	58	-132.5	1	 	 	59	59	100		58	-132.5	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	MR	13	-87.4	2	 	 	13	12	92	1	12	-74.2	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	RFP	14	-118.9	1	 	 	14	14	100		14	-118.9	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	SBA	184	-136.6	1	 	 					184	-136.6	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	SED	145	-140.7	1	 	 	150	146	97		145	-140.7	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	SWD	37	-204.8	1	 	 	40	35	88	3	34	-201.2	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y	 	 	WH	8		0	 	 	8	8	100		8		2022
