cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currdenom	currstatus	priordenom	priorstatus	change	currprate_enrolled	currprate_tested	currprate	priorprate_enrolled	priorprate_tested	priorprate	indicator	reportingyear
00000000000000	X	State of California	State of California					AA	65369	-23.2	65974	-23.6	0.4	70587	65440	93	71807	66052	92	SCIENCE	2024
00000000000000	X	State of California	State of California					AI	5709	-19.2	5643	-19.1	-0.1	6294	5714	91	6293	5650	90	SCIENCE	2024
00000000000000	X	State of California	State of California					ALL	1322199	-13.5	1340537	-13.6	0.1	1393531	1323097	95	1415477	1341451	95	SCIENCE	2024
00000000000000	X	State of California	State of California					AS	134832	2.0	131675	2.2	-0.2	138927	134920	97	135741	131757	97	SCIENCE	2024
00000000000000	X	State of California	State of California					CAA	13757	-8.8	13666	-9.2	0.5							SCIENCE	2024
00000000000000	X	State of California	State of California					CAST	1308442	-13.6	1326871	-13.6	0.1							SCIENCE	2024
00000000000000	X	State of California	State of California					EL	303052	-25.6	310380	-25.4	-0.2	317754	303333	95	325214	310702	96	SCIENCE	2024
00000000000000	X	State of California	State of California					ELO	179986	-32.8	190516	-32.5	-0.3	191475	180164	94	202422	190742	94	SCIENCE	2024
00000000000000	X	State of California	State of California					EO	755852	-10.8	756497	-10.7	-0.1	800806	756415	94	803608	757012	94	SCIENCE	2024
00000000000000	X	State of California	State of California					FI	31967	-2.6	33241	-3.1	0.5	32955	32000	97	34324	33267	97	SCIENCE	2024
00000000000000	X	State of California	State of California					FOS	7094	-27.1	7332	-27.5	0.4	8167	7113	87	8488	7352	87	SCIENCE	2024
00000000000000	X	State of California	State of California					HI	746019	-19.3	758881	-19.4	0.1	783802	746509	95	797676	759399	95	SCIENCE	2024
00000000000000	X	State of California	State of California					HOM	55460	-24.5	48602	-24.3	-0.3	60443	55486	92	53055	48625	92	SCIENCE	2024
00000000000000	X	State of California	State of California					LTEL	85308	-32.2	96114	-32.0	-0.2	91983	85424	93	103597	96264	93	SCIENCE	2024
00000000000000	X	State of California	State of California					MR	56622	-4.9	54830	-5.0	0.1	60135	56645	94	58389	54855	94	SCIENCE	2024
00000000000000	X	State of California	State of California					PI	5655	-18.6	5723	-19.0	0.5	6033	5663	94	6148	5726	93	SCIENCE	2024
00000000000000	X	State of California	State of California					RFP	123066	-15.1	119864	-14.2	-0.8	126279	123169	98	122792	119960	98	SCIENCE	2024
00000000000000	X	State of California	State of California					SED	854867	-19.1	836567	-19.4	0.3	901036	855430	95	883560	837146	95	SCIENCE	2024
00000000000000	X	State of California	State of California					SWD	181381	-27.3	179310	-27.8	0.5	202212	182279	90	200947	180224	90	SCIENCE	2024
00000000000000	X	State of California	State of California					WH	265426	-5.9	273667	-5.5	-0.4	283383	265596	94	293422	273828	93	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		AA	0		1			9	5	56	10	6	60	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		ALL	6		10			23	13	57	33	26	79	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		CAST	6		10									SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		EL	3		6			8	5	63	13	11	85	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		ELO	2		6			7	4	57	12	10	83	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		EO	2		3			14	7	50	16	11	69	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		FI	1		0			1	1	100				SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		FOS	0		0			9	4	44	5	3	60	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		HI	4		6			9	6	67	14	12	86	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		HOM	1		0			3	2	67	2	1	50	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		LTEL	1		4			4	2	50	6	6	100	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		MR	1		0			2	1	50	1	1	100	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		RFP	1		0			1	1	100	1	1	100	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		SED	6		10			23	13	57	32	25	78	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		SWD	0		2			9	3	33	9	8	89	SCIENCE	2024
01100170000000	D		Alameda County Office of Education	Alameda		Y		WH	0		0			1	0	0	1	0	0	SCIENCE	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AA	13	-35.8	32	-24.2	-11.6	15	13	87	37	32	86	SCIENCE	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AI	1		0			1	1	100				SCIENCE	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			ALL	53	-27.3	69	-25.1	-2.2	59	56	95	81	69	85	SCIENCE	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			CAST	53	-27.3	68	-25.7	-1.6							SCIENCE	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			EL	18	-36.7	15	-24.8	-11.9	20	19	95	19	15	79	SCIENCE	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			ELO	16	-38.8	6			18	17	94	9	6	67	SCIENCE	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			EO	21	-29.8	37	-26.4	-3.4	25	23	92	43	37	86	SCIENCE	2024
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			HI	32	-21.9	29	-22.5	0.6	33	33	100	35	29	83	SCIENCE	2024
