cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	type	studentgroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	change	statuslevel	changelevel	color	box	smalldenom	currnsizemet	priornsizemet	accountabilitymet	certifyflag	priorcertifyflag	indicator	reportingyear
00000000000000	X	State of California	State of California					UD	AA	27038	308426	8.8	24887	315483	7.9	0.9	1	2	1	220		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	AI	1995	26981	7.4	1787	27969	6.4	1.0	2	2	2	170		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	ALL	212681	6019472	3.5	189079	6066021	3.1	0.4	3	2	2	120		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	AS	6162	582802	1.1	5181	577174	0.9	0.2	4	3	4	80		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	EL	44852	1210425	3.7	38760	1216311	3.2	0.5	3	2	2	120		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	FI	1767	134975	1.3	1651	138991	1.2	0.1	4	3	4	80		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	FOS	5706	41901	13.6	5373	43194	12.4	1.2	1	2	1	220		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	HI	128041	3375948	3.8	111447	3385006	3.3	0.5	3	2	2	120		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	HOM	15899	246480	6.5	12278	224199	5.5	1.0	2	2	2	170		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	MR	10864	329799	3.3	9430	323229	2.9	0.4	3	2	2	120		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	PI	1256	25508	4.9	1179	25929	4.5	0.4	2	2	2	170		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	SED	171622	3792885	4.5	149572	3761917	4.0	0.5	3	2	2	120		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	SWD	51719	874795	5.9	46070	847770	5.4	0.5	2	2	2	170		Y	Y	Y			SUSP	2023
00000000000000	X	State of California	State of California					UD	WH	35558	1235033	2.9	33517	1272253	2.6	0.2	3	3	3	130		Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	AA	2	225	0.9	2	238	0.8	0.0	5	3	5	30		Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	AI		6			1			0	0	0	0	Y						SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	ALL	2	492	0.4	2	464	0.4	0.0	5	3	5	30		Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	AS	0	23	0.0		9			5	0	0	0	Y						SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	EL	0	101	0.0	0	78	0.0	0.0	5	3	5	30	Y	Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	FI		6			4			0	0	0	0	Y						SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	FOS	0	76	0.0	1	96	1.0	-1.0	5	4	5	40	Y	Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	HI	0	193	0.0	0	169	0.0	0.0	5	3	5	30		Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	HOM	1	52	1.9	1	64	1.6	0.4	4	2	3	70	Y	Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	MR	0	19	0.0	0	18	0.0	0.0	5	3	0	0	Y						SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	PI		7			8			0	0	0	0	Y						SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	SED	2	475	0.4	2	448	0.4	0.0	5	3	5	30		Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	SWD	1	122	0.8	1	115	0.9	0.0	5	3	5	30	Y	Y	Y	Y			SUSP	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		UD	WH	0	13	0.0	0	17	0.0	0.0	5	3	0	0	Y						SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	AA	28	105	26.7	36	162	22.2	4.4	1	2	1	220	Y	Y	Y	Y			SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	AI		1			2			0	0	0	0	Y						SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	ALL	47	294	16.0	54	438	12.3	3.7	1	1	1	210		Y	Y	Y			SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	AS		2			2			0	0	0	0	Y						SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	EL	9	62	14.5	6	81	7.4	7.1	1	2	1	220	Y	Y	Y	Y			SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	FOS		1			3			0	0	0	0	Y						SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	HI	11	143	7.7	6	195	3.1	4.6	2	2	2	170	Y	Y	Y	Y			SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	HOM		2						0	0	0	0	Y						SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	MR	3	21	14.3	8	53	15.1	-0.8	1	4	0	0	Y		Y				SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	PI		1						0	0	0	0	Y						SUSP	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			UD	SED	41	243	16.9	46	352	13.1	3.8	1	1	1	210		Y	Y	Y			SUSP	2023
