cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currdenom	currstatus	priordenom	priorstatus	change	statuslevel	changelevel	color	box	hscutpoints	curradjustment	prioradjustment	pairshare_method	notestflag	ReportingYear
00000000000000	X	State of California	State of California					AA	169765	-47.6	174868	-51.3	3.7	2	4	3	190						2019
00000000000000	X	State of California	State of California					AI	15839	-34.1	16871	-36.3	2.1	2	3	2	180						2019
00000000000000	X	State of California	State of California					ALL	3189963	-2.5	3203536	-6.1	3.7	3	4	4	140						2019
00000000000000	X	State of California	State of California					AS	294675	64.8	295452	61.7	3.1	5	4	5	40						2019
00000000000000	X	State of California	State of California					CAA	33208	-15.8	31832	-16.6	0.8	2	3	0	0						2019
00000000000000	X	State of California	State of California					EL	968246	-45.1	993392	-48.2	3.1	2	4	3	190						2019
00000000000000	X	State of California	State of California					ELO	502528	-90.6	522796	-92.7	2	1	3	0	0						2019
00000000000000	X	State of California	State of California					EO	1818306	9.4	1813671	6.2	3.2	3	4	0	0						2019
00000000000000	X	State of California	State of California					FI	76708	46.7	71991	43.1	3.6	5	4	5	40						2019
00000000000000	X	State of California	State of California					FOS	19681	-71.9	21562	-77.6	5.7	1	4	2	240			-0.25			2019
00000000000000	X	State of California	State of California					HI	1756798	-26.6	1756896	-31.1	4.5	2	4	3	190						2019
00000000000000	X	State of California	State of California					HOM	119476	-46.7	116659	-50.6	3.8	2	4	3	190						2019
00000000000000	X	State of California	State of California					MR	119267	30.3	119684	28.3	2	4	3	4	80						2019
00000000000000	X	State of California	State of California					PI	14562	-19.5	15042	-21.3	1.8	2	3	2	180						2019
00000000000000	X	State of California	State of California					RFP	465718	4	470596	1.1	2.8	3	3	0	0						2019
00000000000000	X	State of California	State of California					SBA	3156755	-2.3	3171704	-6	3.7	3	4	0	0						2019
00000000000000	X	State of California	State of California					SED	2001938	-30.1	2004631	-34.5	4.4	2	4	3	190						2019
00000000000000	X	State of California	State of California					SWD	420137	-88.1	394912	-95.9	7.9	1	4	2	240						2019
00000000000000	X	State of California	State of California					WH	718006	30.7	741043	27.3	3.4	4	4	4	90						2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		AA	1		2			0	0	0	0						2019
