cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currdenom	currstatus	statuslevel	hscutpoints	pairshare_method	prate_enrolled	prate_tested	prate	numPRLOSS	currdenom_withoutPRLOSS	currstatus_withoutPRLOSS	reportingyear
00000000000000	X	State of California	State of California	 	 	 	 	AA	151831	-57.7	2	 	 	160454	152073	95		151831	-57.7	2022
00000000000000	X	State of California	State of California	 	 	 	 	AI	13144	-49.3	2	 	 	13926	13033	94	128	13016	-47.0	2022
00000000000000	X	State of California	State of California	 	 	 	 	ALL	2987976	-12.2	2	 	 	3084188	2991109	97		2987976	-12.2	2022
00000000000000	X	State of California	State of California	 	 	 	 	AS	290969	63.0	5	 	 	295916	291263	98		290969	63.0	2022
00000000000000	X	State of California	State of California	 	 	 	 	CAA	30007	-19.6	2	 	 					30007	-19.6	2022
00000000000000	X	State of California	State of California	 	 	 	 	EL	807968	-61.2	2	 	 	825740	809003	98		807968	-61.2	2022
00000000000000	X	State of California	State of California	 	 	 	 	ELO	512600	-98.5	1	 	 	526162	513381	98		512600	-98.5	2022
00000000000000	X	State of California	State of California	 	 	 	 	EO	1755866	-1.1	3	 	 	1822886	1757820	96		1755866	-1.1	2022
00000000000000	X	State of California	State of California	 	 	 	 	FI	70836	42.9	4	 	 	72254	70929	98		70836	42.9	2022
00000000000000	X	State of California	State of California	 	 	 	 	FOS	18554	-85.6	1	 	 	19713	18276	93	353	18201	-81.9	2022
00000000000000	X	State of California	State of California	 	 	 	 	HI	1677987	-38.6	2	 	 	1724890	1679734	97		1677987	-38.6	2022
00000000000000	X	State of California	State of California	 	 	 	 	HOM	98561	-62.9	2	 	 	102958	98645	96		98561	-62.9	2022
00000000000000	X	State of California	State of California	 	 	 	 	MR	126486	25.1	4	 	 	131211	126595	96		126486	25.1	2022
00000000000000	X	State of California	State of California	 	 	 	 	PI	12718	-29.1	2	 	 	13300	12742	96		12718	-29.1	2022
00000000000000	X	State of California	State of California	 	 	 	 	RFP	295368	3.4	3	 	 	299578	295622	99		295368	3.4	2022
00000000000000	X	State of California	State of California	 	 	 	 	SBA	2957969	-12.2	2	 	 					2957969	-12.2	2022
00000000000000	X	State of California	State of California	 	 	 	 	SED	1858816	-41.4	2	 	 	1917302	1860723	97		1858816	-41.4	2022
00000000000000	X	State of California	State of California	 	 	 	 	SWD	415950	-97.3	1	 	 	443474	413035	93	6048	409902	-94.7	2022
00000000000000	X	State of California	State of California	 	 	 	 	WH	617464	21.9	4	 	 	644117	618039	96		617464	21.9	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	AA	6		0	 	 	11	7	64	4	2		2022
