cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	currprogressed	currmaintainPL4	currmaintainOth	currdeclined	currprogressed_Alternate	currmaintainPL3_Alternate	currnotprognotmain_Alternate	curr95	currnumer	currdenom	currstatus	priorprogressed	priormaintainPL4	priormaintainOth	priordeclined	prior95	priornumer	priordenom	priorstatus	change	statuslevel	changelevel	color	box	currnsizemet	currnsizegroup	priornsizemet	priornsizegroup	accountabilitymet	indicator	reportingyear
00000000000000	X	State of California	State of California					379363	19473	267388	151912	3119	1538	6416	0	403493	829209	48.7	373158	21901	247083	143618	0	395059	785760	50.3	-1.6	3	3	3	130	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01100170000000	D		Alameda County Office of Education	Alameda		Y		10	0	13	5	0	0	0	1	10	29	34.5	10	1	11	0	4	11	26	42.3	-7.8	1	2	0	0	N	11 to 29	N	11 to 29		ELPI	2023
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			13	3	10	13	0	0	0	1	16	40	40.0	24	8	11	3	6	32	52	61.5	-21.5	2	1	1	160	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01100170123968	S	Community School for Creative Education	Alameda County Office of Education	Alameda	Y			44	0	24	15	0	0	0	0	44	83	53.0	56	0	25	3	0	56	84	66.7	-13.7	3	1	2	110	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01100170124172	S	Yu Ming Charter	Alameda County Office of Education	Alameda	Y			28	3	22	13	0	0	0	0	31	66	47.0	12	14	6	15	0	26	47	55.3	-8.3	3	2	2	120	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01100170125567	S	Urban Montessori Charter	Alameda County Office of Education	Alameda	Y			23	1	4	3	1	0	0	1	25	33	75.8	4	1	4	6	0	5	15	33.3	42.4	5	5	0	0	Y	30 and Up	N	11 to 29		ELPI	2023
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y								0		4						0		5			0	0	0	0	N	0 to 10	N	0 to 10		ELPI	2023
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	9	0	11	3	0	0	0	1	9	24	37.5	7	1	9	0	0	8	17	47.1	-9.6	2	2	0	0	N	11 to 29	N	11 to 29		ELPI	2023
01100170130625	S	Alternatives in Action	Alameda County Office of Education	Alameda	Y		Y	23	1	36	12	0	0	0	6	24	78	30.8	16	1	21	15	6	17	59	28.8	2.0	1	4	2	240	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01100170131581	S	Oakland Unity Middle	Alameda County Office of Education	Alameda	Y			7	0	10	9	0	0	0	16	7	42	16.7	11	0	8	3	14	11	36	30.6	-13.9	1	1	1	210	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01100170136101	S	Connecting Waters Charter - East Bay	Alameda County Office of Education	Alameda	Y			6	0	4	3	0	0	1	0	6	14	42.9					0		9			2	0	0	0	N	11 to 29	N	0 to 10		ELPI	2023
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y								0		6						0		4			0	0	0	0	N	0 to 10	N	0 to 10		ELPI	2023
01100170137448	S	Aurum Preparatory Academy	Alameda County Office of Education	Alameda	Y			8	4	14	10	0	0	0	0	12	36	33.3	19	4	8	7	5	23	43	53.5	-20.2	1	1	1	210	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01100170138867	S	Hayward Collegiate Charter	Alameda County Office of Education	Alameda	Y			13	5	5	6	0	0	0	0	18	29	62.1	5	2	0	8	12	7	27	25.9	36.1	4	5	0	0	N	11 to 29	N	11 to 29		ELPI	2023
01100176001788	S	Cox Academy	Alameda County Office of Education	Alameda	Y			79	1	73	37	0	0	0	0	80	190	42.1	105	1	55	29	0	106	190	55.8	-13.7	2	1	1	160	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01100176002000	S	Lazear Charter Academy	Alameda County Office of Education	Alameda	Y			100	4	35	25	0	0	0	0	104	164	63.4	96	11	44	33	0	107	184	58.2	5.3	4	4	4	90	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01316090131755	S	California School for the Blind	California School for the Blind (State Special Schl)	Alameda											0		5						0		3			0	0	0	0	N	0 to 10	N	0 to 10		ELPI	2023
01316170131763	S	California School for the Deaf-Fremont	California School for the Deaf-Fremont (State Special Schl)	Alameda											0		0						0		0			0	0	0	0	N	0 to 10	N	0 to 10		ELPI	2023
01611190000000	D		Alameda Unified	Alameda				274	12	153	62	2	5	7	0	293	515	56.9	152	10	62	27	0	162	251	64.5	-7.6	4	2	3	70	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda											0		2						0		3			0	0	0	0	N	0 to 10	N	0 to 10		ELPI	2023
01611190111765	S	Ruby Bridges Elementary	Alameda Unified	Alameda				36	0	16	5	0	1	2	0	37	60	61.7	10	0	6	3	0	10	19	52.6	9.0	4	4	0	0	Y	30 and Up	N	11 to 29		ELPI	2023
01611190119222	S	Nea Community Learning Center	Alameda Unified	Alameda	Y			21	8	12	19	0	0	0	0	29	60	48.3	15	4	9	2	2	19	32	59.4	-11.0	3	1	2	110	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01611190122085	S	The Academy of Alameda	Alameda Unified	Alameda	Y			29	0	20	9	0	0	0	0	29	58	50.0	29	1	3	1	0	30	34	88.2	-38.2	3	1	2	110	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
01611190130229	S	Alameda High	Alameda Unified	Alameda				38	2	23	4	1	1	3	0	42	72	58.3	22	3	19	9	0	25	53	47.2	11.2	4	5	5	100	Y	30 and Up	Y	30 and Up	Y	ELPI	2023
