cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	change	safetynet	statuslevel	changelevel	color	box	certifyflag	dataerrorflag	reportingyear
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			ALL	6	225	2.7	0	221	0	2.7	N	4	2	3	70			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			AI		0			0			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			AS		5			4			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			AA		1			1			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			SWD	3	27	11.1	0	34	0	11.1	Y	2	2	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			EL		8			7			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			FI		0			0			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			FOS		3			3			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			HI	4	152	2.6	0	149	0	2.6	N	4	2	3	70			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			HOM		0			0			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			PI		0			0			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			SED	5	131	3.8	0	121	0	3.8	Y	4	2	3	70			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			MR		3			3			Y	0	0	0	0			2019
20652430100016	S	Sherman Thomas Charter	Madera Unified	Madera	Y			WH	2	64	3.1	0	64	0	3.1	Y	4	2	3	70			2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				ALL	19	642	3	32	714	4.5	-1.5	N	4	4	4	90			2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				AI		2			0			Y	0	0	0	0			2019
09618380100024	S	Oak Meadow Elementary	Buckeye Union Elementary	El Dorado				AS	3	119	2.5	5	132	3.8	-1.3	Y	5	4	5	40			2019
