cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currnumer	currdenom	currstatus	fiveyrnumer	reportingyear
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	AA	9	37	24.3	1	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	ALL	19	68	27.9	5	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	EL		8		1	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	FI		2		0	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	FOS	4	19	21.1	1	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	HI	9	23	39.1	4	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	HOM	9	32	28.1	2	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	PI		2		0	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	SED	19	68	27.9	5	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	SWD	5	18	27.8	1	2020
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda	 	 	Y	WH		4		0	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	AA	13	27	48.1	4	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	AI		1		0	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	ALL	43	89	48.3	8	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	AS		6		2	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	EL	9	25	36	2	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	FOS	7	13	53.8	2	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	HI	22	49	44.9	2	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	HOM	12	23	52.2	2	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	SED	42	88	47.7	8	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	SWD		4		0	2020
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda	 	 	Y	WH		5		0	2020
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y	 	Y	AA	29	48	60.4	13	2020
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y	 	Y	AI		3		0	2020
