cds,grades_offered,reportingyear,assistance_status,ec52072b_2025,ec52071f_2025,ec47607_2025,ec52072_2024,ec47607_2024,ec52072_2023,ec52072_2022,studentgroup,assistance
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,AA,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,AI,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,AS,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,EL,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,FI,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,FOS,F
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,HI,F
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,HOM,F
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,LTEL,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,PI,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,SED,F
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,SWD,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,TOM,*
01100170000000,P-12,2025,Differentiated Assistance,Y,N,NA,NA,NA,NA,NA,WH,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AA,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AI,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AS,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,EL,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FI,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FOS,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HI,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HOM,B
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,LTEL,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,PI,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SED,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SWD,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,TOM,*
01611190000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,WH,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,AA,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,AI,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,AS,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,EL,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,FI,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,FOS,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,HI,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,HOM,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,LTEL,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,PI,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,SED,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,SWD,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,TOM,*
01611270000000,P-12,2025,General Assistance,N,N,NA,NA,NA,NA,NA,WH,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AA,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AI,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AS,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,EL,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FI,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FOS,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HI,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HOM,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,LTEL,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,PI,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SED,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SWD,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,TOM,*
01611430000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,WH,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AA,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AI,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AS,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,EL,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FI,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FOS,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HI,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HOM,A
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,LTEL,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,PI,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SED,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SWD,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,TOM,*
01611500000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,WH,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AA,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AI,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AS,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,EL,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FI,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FOS,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HI,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HOM,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,LTEL,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,PI,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SED,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SWD,A
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,TOM,*
01611680000000,P-12,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,WH,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AA,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AI,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,AS,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,EL,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FI,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,FOS,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HI,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,HOM,B
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,LTEL,C
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,PI,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SED,*
01611760000000,P-Adult,2025,Differentiated Assistance,N,N,NA,NA,NA,NA,NA,SWD,*
