cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	safetynet	studentgroup	studentgroup_pct	currdenom	currstatus	priordenom	priorstatus	change	statuslevel	changelevel	color	box	curr_prep	curr_prep_pct	curr_prep_summative	curr_prep_summative_pct	curr_prep_apexam	curr_prep_apexam_pct	curr_prep_ibexam	curr_prep_ibexam_pct	curr_prep_collegecredit	curr_prep_collegecredit_pct	curr_prep_agplus	curr_prep_agplus_pct	curr_prep_cteplus	curr_prep_cteplus_pct	curr_prep_ssb	curr_prep_ssb_pct	curr_prep_milsci	curr_prep_milsci_pct	curr_aprep	curr_aprep_pct	curr_aprep_summative	curr_aprep_summative_pct	curr_aprep_collegecredit	curr_aprep_collegecredit_pct	curr_aprep_ag	curr_aprep_ag_pct	curr_aprep_cte	curr_aprep_cte_pct	curr_aprep_milsci	curr_aprep_milsci_pct	curr_nprep	curr_nprep_pct	prior_prep	prior_prep_pct	prior_prep_summative	prior_prep_summative_pct	prior_prep_apexam	prior_prep_apexam_pct	prior_prep_ibexam	prior_prep_ibexam_pct	prior_prep_collegecredit	prior_prep_collegecredit_pct	prior_prep_agplus	prior_prep_agplus_pct	prior_prep_cteplus	prior_prep_cteplus_pct	prior_prep_ssb	prior_prep_ssb_pct	prior_prep_milsci	prior_prep_milsci_pct	prior_aprep	prior_aprep_pct	prior_aprep_summative	prior_aprep_summative_pct	prior_aprep_collegecredit	prior_aprep_collegecredit_pct	prior_aprep_ag	prior_aprep_ag_pct	prior_aprep_cte	prior_aprep_cte_pct	prior_aprep_milsci	prior_aprep_milsci_pct	prior_nprep	prior_nprep_pct	reportingyear
00000000000000	X	State of California	State of California						AA	6	30255	23.7	34052	21.3	2.4	2	4	3	190	7161	23.7	2986	41.7	1347	18.8	90	1.3	1367	19.1	5754	80.4	1275	17.8	507	7.1	61	0.9	6117	20.2	1749	28.6	359	5.9	3207	52.4	1233	20.2	181	3	16977	56.1	7250	21.3	3286	45.3	1239	17.1	99	1.4	803	11.1	5954	82.1	1240	17.1	539	7.4	83	1.1	6437	18.9	2017	31.3	208	3.2	3116	48.4	1456	22.6	206	3.2	20365	59.8	2019
00000000000000	X	State of California	State of California						AI	0.6	2864	25.9	3186	25.5	0.5	2	3	2	180	743	25.9	399	53.7	145	19.5	14	1.9	151	20.3	498	67	185	24.9	90	12.1	3	0.4	543	19	233	42.9	33	6.1	161	29.7	147	27.1	13	2.4	1578	55.1	812	25.5	459	56.5	169	20.8	9	1.1	78	9.6	565	69.6	183	22.5	90	11.1	9	1.1	544	17.1	257	47.2	18	3.3	157	28.9	145	26.7	14	2.6	1830	57.4	2019
00000000000000	X	State of California	State of California						ALL	100	504059	44.1	518864	42.3	1.8	3	3	3	130	222240	44.1	127361	57.3	75576	34	3860	1.7	33262	15	179246	80.7	42185	19	48394	21.8	2044	0.9	86136	17.1	35411	41.1	5214	6.1	32538	37.8	20330	23.6	2253	2.6	195683	38.8	219562	42.3	133267	60.7	73449	33.5	3948	1.8	19016	8.7	178481	81.3	39519	18	46035	21	2362	1.1	89103	17.2	39334	44.1	3106	3.5	30179	33.9	23130	26	2283	2.6	210199	40.5	2019
00000000000000	X	State of California	State of California						AS	9.1	45829	74	47551	74.2	-0.2	5	3	5	30	33934	74	27034	79.7	20312	59.9	804	2.4	2863	8.4	30007	88.4	5466	16.1	9186	27.1	407	1.2	4550	9.9	2250	49.5	168	3.7	2081	45.7	615	13.5	103	2.3	7345	16	35291	74.2	29060	82.3	20562	58.3	830	2.4	1668	4.7	31104	88.1	5629	16	8750	24.8	447	1.3	4659	9.8	2559	54.9	91	2	1829	39.3	717	15.4	94	2	7601	16	2019
00000000000000	X	State of California	State of California						EL	14.3	71834	16.8	73733	14.7	2.1	2	4	3	190	12083	16.8	3186	26.4	2485	20.6	83	0.7	2891	23.9	8322	68.9	2246	18.6	2362	19.5	96	0.8	11761	16.4	2878	24.5	935	8	4658	39.6	3863	32.8	441	3.7	47990	66.8	10822	14.7	3240	29.9	2048	18.9	88	0.8	1594	14.7	7686	71	1814	16.8	2262	20.9	86	0.8	12554	17	3529	28.1	594	4.7	4491	35.8	4620	36.8	464	3.7	50357	68.3	2019
00000000000000	X	State of California	State of California						FI	2.9	14805	64.5	14935	62.7	1.7	4	3	4	80	9546	64.5	6614	69.3	3423	35.9	184	1.9	1198	12.5	8224	86.2	1815	19	1115	11.7	210	2.2	2292	15.5	1159	50.6	86	3.8	980	42.8	316	13.8	101	4.4	2967	20	9371	62.7	6597	70.4	3119	33.3	194	2.1	654	7	8045	85.8	1671	17.8	993	10.6	240	2.6	2354	15.8	1254	53.3	66	2.8	859	36.5	364	15.5	98	4.2	3210	21.5	2019
00000000000000	X	State of California	State of California						FOS	1.3	6364	13.3	6654	10.5	2.8	2	4	3	190	848	13.3	332	39.2	125	14.7	4	0.5	186	21.9	564	66.5	171	20.2	102	12	13	1.5	847	13.3	307	36.2	89	10.5	292	34.5	207	24.4	37	4.4	4669	73.4	699	10.5	309	44.2	100	14.3	6	0.9	87	12.4	461	66	147	21	92	13.2	14	2	823	12.4	337	40.9	19	2.3	222	27	268	32.6	37	4.5	5132	77.1	2019
00000000000000	X	State of California	State of California						HI	53.6	270276	36.1	272983	33.9	2.2	3	4	4	140	97702	36.1	41448	42.4	22031	22.5	1436	1.5	16787	17.2	76188	78	19697	20.2	26658	27.3	930	1	49953	18.5	18853	37.7	3308	6.6	18402	36.8	13252	26.5	1477	3	122621	45.4	92571	33.9	42293	45.7	20264	21.9	1423	1.5	9194	9.9	72918	78.8	17243	18.6	24995	27	992	1.1	51263	18.8	20680	40.3	1941	3.8	17162	33.5	15012	29.3	1441	2.8	129149	47.3	2019
00000000000000	X	State of California	State of California						HOM	6	30375	25.9	30327	24.5	1.4	2	3	2	180	7857	25.9	3198	40.7	1570	20	117	1.5	1711	21.8	5457	69.5	1663	21.2	1623	20.7	90	1.1	5270	17.3	2102	39.9	458	8.7	1514	28.7	1507	28.6	177	3.4	17248	56.8	7416	24.5	3385	45.6	1427	19.2	105	1.4	960	12.9	5241	70.7	1546	20.8	1532	20.7	87	1.2	5459	18	2334	42.8	296	5.4	1409	25.8	1718	31.5	161	2.9	17452	57.5	2019
00000000000000	X	State of California	State of California						MR	2.9	14689	49.7	14215	48.8	0.9	3	3	3	130	7299	49.7	4992	68.4	2957	40.5	183	2.5	977	13.4	5970	81.8	1277	17.5	1206	16.5	69	0.9	2316	15.8	1168	50.4	120	5.2	848	36.6	393	17	46	2	5074	34.5	6934	48.8	4908	70.8	2744	39.6	163	2.4	590	8.5	5724	82.5	1055	15.2	977	14.1	94	1.4	2194	15.4	1136	51.8	73	3.3	764	34.8	386	17.6	50	2.3	5087	35.8	2019
