cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	studentgroup_pct	currdenom	currstatus	priordenom	priorstatus	change	statuslevel	changelevel	color	box	smalldenom	currnsizemet	priornsizemet	accountabilitymet	curr_prep	curr_prep_pct	curr_prep_summative	curr_prep_summative_pct	curr_prep_apexam	curr_prep_apexam_pct	curr_prep_ibexam	curr_prep_ibexam_pct	curr_prep_collegecredit	curr_prep_collegecredit_pct	curr_prep_agplus	curr_prep_agplus_pct	curr_prep_cteplus	curr_prep_cteplus_pct	curr_prep_ssb	curr_prep_ssb_pct	curr_prep_milsci	curr_prep_milsci_pct	curr_prep_reg_pre	curr_prep_reg_pre_pct	curr_prep_statefedjobs_dass	curr_prep_statefedjobs_dass_pct	curr_prep_trans_classwk	curr_prep_trans_classwk_pct	curr_aprep	curr_aprep_pct	curr_aprep_summative	curr_aprep_summative_pct	curr_aprep_collegecredit	curr_aprep_collegecredit_pct	curr_aprep_ag	curr_aprep_ag_pct	curr_aprep_cte	curr_aprep_cte_pct	curr_aprep_milsci	curr_aprep_milsci_pct	curr_aprep_statefedjobs_dass	curr_aprep_statefedjobs_dass_pct	curr_aprep_trans_classwk	curr_aprep_trans_classwk_pct	curr_nprep	curr_nprep_pct	prior_prep	prior_prep_pct	prior_prep_summative	prior_prep_summative_pct	prior_prep_apexam	prior_prep_apexam_pct	prior_prep_ibexam	prior_prep_ibexam_pct	prior_prep_collegecredit	prior_prep_collegecredit_pct	prior_prep_agplus	prior_prep_agplus_pct	prior_prep_cteplus	prior_prep_cteplus_pct	prior_prep_ssb	prior_prep_ssb_pct	prior_prep_milsci	prior_prep_milsci_pct	prior_prep_reg_pre	prior_prep_reg_pre_pct	prior_prep_statefedjobs_dass	prior_prep_statefedjobs_dass_pct	prior_prep_trans_classwk	prior_prep_trans_classwk_pct	prior_aprep	prior_aprep_pct	prior_aprep_summative	prior_aprep_summative_pct	prior_aprep_collegecredit	prior_aprep_collegecredit_pct	prior_aprep_ag	prior_aprep_ag_pct	prior_aprep_cte	prior_aprep_cte_pct	prior_aprep_milsci	prior_aprep_milsci_pct	prior_aprep_statefedjobs_dass	prior_aprep_statefedjobs_dass_pc	prior_aprep_trans_classwk	prior_aprep_trans_classwk_pct	prior_nprep	prior_nprep_pct	indicator	reportingyear
00000000000000	X	State of California	State of California					AA	5.2	26188	28.1	25953	25.1	3.0	2	4	3	190		Y	Y	Y	7366	28.1	2215	30.1	1383	18.8	63	0.9	1924	26.1	6125	83.2	1623	22.0	566	7.7	40	0.5	51	0.7	38	0.5	17	0.2	5409	20.7	1071	19.8	513	9.5	2846	52.6	1204	22.3	107	2.0	25	0.5	86	1.6	13413	51.2	6518	25.1	2013	30.9	1101	16.9	75	1.2	1407	21.6	5473	84.0	1327	20.4	488	7.5	40	0.6	33	0.5	21	0.3	36	0.6	5532	21.3	1023	18.5	465	8.4	3120	56.4	1113	20.1	146	2.6	9	0.2	74	1.3	13903	53.6	CCI	2024
00000000000000	X	State of California	State of California					AI	0.5	2450	28.9	2427	26.5	2.4	2	4	3	190		Y	Y	Y	709	28.9	283	39.9	161	22.7	11	1.6	194	27.4	527	74.3	225	31.7	102	14.4	4	0.6	4	0.6	4	0.6	0	0.0	460	18.8	133	28.9	66	14.3	132	28.7	157	34.1	9	2.0	1	0.2	5	1.1	1281	52.3	643	26.5	248	38.6	123	19.1	10	1.6	171	26.6	482	75.0	169	26.3	64	10.0	5	0.8	3	0.5	1	0.2	3	0.5	450	18.5	138	30.7	49	10.9	134	29.8	157	34.9	7	1.6	1	0.2	8	1.8	1334	55.0	CCI	2024
00000000000000	X	State of California	State of California					ALL	100.0	507621	45.3	495984	44.0	1.4	3	3	3	130		Y	Y	Y	230175	45.3	111932	48.6	81175	35.3	3610	1.6	48029	20.9	190799	82.9	58470	25.4	56152	24.4	1514	0.7	731	0.3	497	0.2	181	0.1	90251	17.8	25553	28.3	9287	10.3	35432	39.3	27287	30.2	1669	1.8	182	0.2	965	1.1	187195	36.9	218038	44.0	105671	48.5	72606	33.3	3376	1.5	39325	18.0	182606	83.7	50356	23.1	50721	23.3	1619	0.7	890	0.4	378	0.2	544	0.2	92144	18.6	25322	27.5	9159	9.9	39815	43.2	24450	26.5	2047	2.2	73	0.1	966	1.0	185802	37.5	CCI	2024
00000000000000	X	State of California	State of California					AS	9.4	47918	74.5	46243	75.8	-1.3	5	3	5	30		Y	Y	Y	35678	74.5	26461	74.2	23358	65.5	697	2.0	5424	15.2	32422	90.9	8858	24.8	9852	27.6	256	0.7	21	0.1	5	0.0	12	0.0	4311	9.0	1635	37.9	308	7.1	2041	47.3	805	18.7	41	1.0	2	0.0	50	1.2	7929	16.5	35047	75.8	25868	73.8	21897	62.5	701	2.0	4508	12.9	32080	91.5	7889	22.5	9074	25.9	291	0.8	36	0.1	6	0.0	45	0.1	4558	9.9	1564	34.3	311	6.8	2411	52.9	764	16.8	72	1.6	1	0.0	52	1.1	6638	14.4	CCI	2024
00000000000000	X	State of California	State of California					EL	15.1	76578	17.2	72601	15.4	1.9	2	3	2	180		Y	Y	Y	13204	17.2	1873	14.2	1730	13.1	76	0.6	3185	24.1	9778	74.1	2605	19.7	2569	19.5	56	0.4	70	0.5	106	0.8	55	0.4	14568	19.0	2188	15.0	1831	12.6	5804	39.8	5473	37.6	385	2.6	43	0.3	240	1.6	48806	63.7	11156	15.4	1848	16.6	1659	14.9	64	0.6	2460	22.1	8341	74.8	2025	18.2	1930	17.3	57	0.5	115	1.0	53	0.5	115	1.0	13243	18.2	2000	15.1	1638	12.4	5578	42.1	4428	33.4	438	3.3	13	0.1	255	1.9	48202	66.4	CCI	2024
00000000000000	X	State of California	State of California					FI	2.6	12954	67.7	13265	65.2	2.5	4	4	4	90		Y	Y	Y	8768	67.7	5399	61.6	3679	42.0	177	2.0	1689	19.3	7755	88.4	2364	27.0	1228	14.0	111	1.3	8	0.1	1	0.0	6	0.1	2023	15.6	741	36.6	144	7.1	971	48.0	381	18.8	45	2.2	0	0.0	33	1.6	2163	16.7	8653	65.2	5228	60.4	3218	37.2	158	1.8	1486	17.2	7799	90.1	2048	23.7	1201	13.9	123	1.4	19	0.2	1	0.0	13	0.2	2189	16.5	714	32.6	139	6.3	1186	54.2	355	16.2	63	2.9	2	0.1	23	1.1	2423	18.3	CCI	2024
00000000000000	X	State of California	State of California					FOS	1.1	5614	13.0	5576	11.6	1.4	2	3	2	180		Y	Y	Y	728	13.0	176	24.2	77	10.6	2	0.3	207	28.4	464	63.7	171	23.5	83	11.4	5	0.7	8	1.1	16	2.2	3	0.4	738	13.1	177	24.0	102	13.8	256	34.7	228	30.9	25	3.4	3	0.4	17	2.3	4148	73.9	647	11.6	166	25.7	73	11.3	5	0.8	153	23.6	429	66.3	125	19.3	85	13.1	10	1.5	6	0.9	12	1.9	10	1.5	698	12.5	178	25.5	93	13.3	240	34.4	184	26.4	46	6.6	4	0.6	16	2.3	4231	75.9	CCI	2024
00000000000000	X	State of California	State of California					HI	56.6	287174	37.4	277721	35.6	1.8	3	3	3	130		Y	Y	Y	107539	37.4	36534	34.0	23521	21.9	1359	1.3	24583	22.9	85836	79.8	27919	26.0	33113	30.8	687	0.6	505	0.5	376	0.3	105	0.1	56440	19.7	14402	25.5	6024	10.7	21234	37.6	18999	33.7	1186	2.1	130	0.2	626	1.1	123195	42.9	98867	35.6	33081	33.5	19718	19.9	1160	1.2	19520	19.7	79451	80.4	23459	23.7	29382	29.7	671	0.7	629	0.6	288	0.3	284	0.3	56362	20.3	14193	25.2	5950	10.6	23196	41.2	16632	29.5	1385	2.5	49	0.1	622	1.1	122492	44.1	CCI	2024
00000000000000	X	State of California	State of California					HOM	7.4	37772	21.8	33893	20.5	1.3	2	3	2	180		Y	Y	Y	8242	21.8	2644	32.1	1551	18.8	71	0.9	2004	24.3	5967	72.4	2051	24.9	1864	22.6	68	0.8	45	0.5	89	1.1	17	0.2	5969	15.8	1715	28.7	841	14.1	1830	30.7	1945	32.6	181	3.0	27	0.5	46	0.8	23561	62.4	6955	20.5	2202	31.7	1151	16.5	90	1.3	1518	21.8	5132	73.8	1682	24.2	1517	21.8	73	1.0	43	0.6	50	0.7	33	0.5	5475	16.2	1491	27.2	774	14.1	1759	32.1	1691	30.9	181	3.3	14	0.3	50	0.9	21463	63.3	CCI	2024
00000000000000	X	State of California	State of California					LTEL	10.9	55369	16.5	50130	14.6	2.0	2	4	3	190		Y	Y	Y	9144	16.5	953	10.4	690	7.5	43	0.5	2409	26.3	6590	72.1	1922	21.0	1597	17.5	35	0.4	62	0.7	100	1.1	53	0.6	11998	21.7	1601	13.3	1488	12.4	4562	38.0	4901	40.8	309	2.6	39	0.3	220	1.8	34227	61.8	7297	14.6	897	12.3	599	8.2	33	0.5	1901	26.1	5220	71.5	1469	20.1	1114	15.3	37	0.5	101	1.4	48	0.7	105	1.4	10539	21.0	1378	13.1	1342	12.7	4249	40.3	3824	36.3	370	3.5	10	0.1	244	2.3	32294	64.4	CCI	2024
