cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	currprogressed	pctcurrprogressed	currmaintainpl4	pctcurrmaintainpl4	currmaintainoth	pctcurrmaintainoth	currdeclined	pctcurrdeclined	currnumer	currdenom	currstatus	statuslevel	flag95pct	nsizemet	nsizegroup	reportingyear
00000000000000	X	State of California	State of California					373150	47.5	21899	2.8	247075	31.4	143610	18.3	395049	785734	50.3	3		Y	30 and Up	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		10	45.5	1	4.5	11	50.0	0	0.0	11	22	50.0	2	Y	N	11 to 29	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			24	52.2	8	17.4	11	23.9	3	6.5	32	46	69.6	2	Y	Y	30 and Up	2022
01100170123968	S	Community School for Creative Education	Alameda County Office of Education	Alameda	Y			56	66.7	0	0.0	25	29.8	3	3.6	56	84	66.7	5		Y	30 and Up	2022
01100170124172	S	Yu Ming Charter	Alameda County Office of Education	Alameda	Y			12	25.5	14	29.8	6	12.8	15	31.9	26	47	55.3	4		Y	30 and Up	2022
01100170125567	S	Urban Montessori Charter	Alameda County Office of Education	Alameda	Y			4	26.7	1	6.7	4	26.7	6	40.0	5	15	33.3	1		N	11 to 29	2022
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y										5		0		N	0 to 10	2022
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	7	41.2	1	5.9	9	52.9	0	0.0	8	17	47.1	3		N	11 to 29	2022
01100170130625	S	Alternatives in Action	Alameda County Office of Education	Alameda	Y		Y	16	30.2	1	1.9	21	39.6	15	28.3	17	53	32.1	1	Y	Y	30 and Up	2022
01100170131581	S	Oakland Unity Middle	Alameda County Office of Education	Alameda	Y			11	50.0	0	0.0	8	36.4	3	13.6	11	22	50.0	2	Y	N	11 to 29	2022
01100170136101	S	Connecting Waters Charter - East Bay	Alameda County Office of Education	Alameda	Y												9		0		N	0 to 10	2022
01100170136226	S	Opportunity Academy	Alameda County Office of Education	Alameda	Y		Y										4		0		N	0 to 10	2022
01100170137448	S	Aurum Preparatory Academy	Alameda County Office of Education	Alameda	Y			19	50.0	4	10.5	8	21.1	7	18.4	23	38	60.5	2	Y	Y	30 and Up	2022
01100170138867	S	Hayward Collegiate Charter	Alameda County Office of Education	Alameda	Y			5	33.3	2	13.3	0	0.0	8	53.3	7	15	46.7	2	Y	N	11 to 29	2022
01100176001788	S	Cox Academy	Alameda County Office of Education	Alameda	Y			105	55.3	1	0.5	55	28.9	29	15.3	106	190	55.8	4		Y	30 and Up	2022
01100176002000	S	Lazear Charter Academy	Alameda County Office of Education	Alameda	Y			96	52.2	11	6.0	44	23.9	33	17.9	107	184	58.2	4		Y	30 and Up	2022
01316090131755	S	California School for the Blind	California School for the Blind (State Special Schl)	Alameda													3		0		N	0 to 10	2022
01316170131763	S	California School for the Deaf-Fremont	California School for the Deaf-Fremont (State Special Schl)	Alameda															0		N	0 to 10	2022
01611190000000	D		Alameda Unified	Alameda				152	60.6	10	4.0	62	24.7	27	10.8	162	251	64.5	4		Y	30 and Up	2022
01611190106401	S	Alameda Science and Technology Institute	Alameda Unified	Alameda													3		0		N	0 to 10	2022
01611190111765	S	Ruby Bridges Elementary	Alameda Unified	Alameda				10	52.6	0	0.0	6	31.6	3	15.8	10	19	52.6	3		N	11 to 29	2022
