cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currnumer	currdenom	currstatus	fiveyrnumer	statuslevel	reportingyear
00000000000000	X	State of California	State of California					AA	22296	28044	79.5	1233	2	2022
00000000000000	X	State of California	State of California					AI	2142	2690	79.6	110	2	2022
00000000000000	X	State of California	State of California					ALL	447979	512524	87.4	14640	3	2022
00000000000000	X	State of California	State of California					AS	45298	47562	95.2	462	5	2022
00000000000000	X	State of California	State of California					EL	54452	74304	73.3	3928	2	2022
00000000000000	X	State of California	State of California					FI	13139	13758	95.5	171	5	2022
00000000000000	X	State of California	State of California					FOS	3851	6010	64.1	415	1	2022
00000000000000	X	State of California	State of California					HI	242188	284086	85.3	10158	3	2022
00000000000000	X	State of California	State of California					HOM	26521	35656	74.4	1892	2	2022
00000000000000	X	State of California	State of California					MR	15476	17265	89.6	391	3	2022
00000000000000	X	State of California	State of California					PI	2092	2454	85.2	64	3	2022
00000000000000	X	State of California	State of California					SED	306703	360329	85.1	13299	3	2022
00000000000000	X	State of California	State of California					SWD	50313	66929	75.2	3569	2	2022
00000000000000	X	State of California	State of California					WH	102576	112981	90.8	1916	4	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		AA	13	41	31.7	4	1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		AI		1		0	0	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		ALL	36	101	35.6	11	1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		AS		1		0	0	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		EL	7	22	31.8	2	1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		FOS	6	30	20	1	1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		HI	18	48	37.5	5	1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		HOM	8	28	28.6	2	1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		MR		2		0	0	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		PI		3		0	0	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		SED	36	101	35.6	11	1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		SWD	11	29	37.9	4	1	2022
01100170000000	D		Alameda County Office of Education	Alameda		Y		WH		4		2	0	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AA	20	24	83.3	0	3	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			ALL	79	85	92.9	2	4	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			EL	20	20	100	1	5	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			FOS		3		0	0	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			HI	48	49	98	2	5	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			HOM		1		0	0	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			MR		6		0	0	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			SED	75	79	94.9	2	4	2022
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			SWD		10		0	0	2022
