cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	type	studentgroup	currnumer	currdenom	currstatus	statuslevel	certifyflag	dataerrorflag	reportingyear
00000000000000	X	State of California	State of California	 	 	 	 	UD	AA	24887	315483	7.9	2	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	AI	1787	27969	6.4	2	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	ALL	189079	6066021	3.1	3	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	AS	5181	577174	0.9	5	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	EL	38760	1216311	3.2	3	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	FI	1651	138991	1.2	4	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	FOS	5373	43194	12.4	1	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	HI	111447	3385006	3.3	3	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	HOM	12278	224199	5.5	2	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	MR	9430	323229	2.9	3	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	PI	1179	25929	4.5	3	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	SED	149572	3761917	4	3	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	SWD	46070	847770	5.4	2	 	 	2022
00000000000000	X	State of California	State of California	 	 	 	 	UD	WH	33517	1272253	2.6	3	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	UD	AA	2	238	0.8	5	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	UD	AI		1		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	UD	ALL	2	464	0.4	5	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	UD	AS		9		0	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	UD	EL	0	78	0	5	 	 	2022
01100170000000	D	 	Alameda County Office of Education	Alameda	 	Y	 	UD	FI		4		0	 	 	2022
