schoolname,districtname,countyname,initials
District Aggregate,Benicia Unified,Solano,BUSD
Liberty High,Benicia Unified,Solano,BUSD
Benicia High,Benicia Unified,Solano,BUSD
Benicia Middle,Benicia Unified,Solano,BUSD
Mary Farmar Elementary,Benicia Unified,Solano,BUSD
Robert Semple Elementary,Benicia Unified,Solano,BUSD
Joe Henderson Elementary,Benicia Unified,Solano,BUSD
Matthew Turner Elementary,Benicia Unified,Solano,BUSD
Community Day,Benicia Unified,Solano,BUSD
District Aggregate,Dixon Unified,Solano,DUSD
Dixon Montessori Charter,Dixon Unified,Solano,DUSD
Maine Prairie High (Continuation),Dixon Unified,Solano,DUSD
Dixon High,Dixon Unified,Solano,DUSD
John Knight Middle,Dixon Unified,Solano,DUSD
Anderson (Linford L.) Elementary,Dixon Unified,Solano,DUSD
Tremont Elementary,Dixon Unified,Solano,DUSD
Gretchen Higgins Elementary,Dixon Unified,Solano,DUSD
Dixon Community Day,Dixon Unified,Solano,DUSD
C. A. Jacobs Intermediate,Dixon Unified,Solano,DUSD
District Aggregate,Fairfield-Suisun Unified,Solano,FSUSD
Weir Preparatory Academy,Fairfield-Suisun Unified,Solano,FSUSD
Rolling Hills Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Cordelia Hills Elementary,Fairfield-Suisun Unified,Solano,FSUSD
H. Glenn Richardson,Fairfield-Suisun Unified,Solano,FSUSD
Public Safety Academy,Fairfield-Suisun Unified,Solano,FSUSD
Dover Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Virtual Academy of Fairfield-Suisun,Fairfield-Suisun Unified,Solano,FSUSD
Sullivan Language Immersion Academy,Fairfield-Suisun Unified,Solano,FSUSD
Matt Garcia Career and College Academy,Fairfield-Suisun Unified,Solano,FSUSD
Angelo Rodriguez High,Fairfield-Suisun Unified,Solano,FSUSD
Armijo High,Fairfield-Suisun Unified,Solano,FSUSD
Fairfield High,Fairfield-Suisun Unified,Solano,FSUSD
Sem Yeto Continuation High,Fairfield-Suisun Unified,Solano,FSUSD
Anna Kyle Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Cleo Gordon Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Crescent Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Crystal Middle,Fairfield-Suisun Unified,Solano,FSUSD
E. Ruth Sheldon Academy of Innovative Learning,Fairfield-Suisun Unified,Solano,FSUSD
Fairview Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Green Valley Middle,Fairfield-Suisun Unified,Solano,FSUSD
K. I. Jones Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Suisun Valley Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Tolenas Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Grange Middle,Fairfield-Suisun Unified,Solano,FSUSD
Suisun Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Oakbrook Academy of the Arts,Fairfield-Suisun Unified,Solano,FSUSD
Dan O. Root Elementary,Fairfield-Suisun Unified,Solano,FSUSD
B. Gale Wilson Middle,Fairfield-Suisun Unified,Solano,FSUSD
Laurel Creek Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Nelda Mundy Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Tolenas Academy of Music and Media,Fairfield-Suisun Unified,Solano,FSUSD
Dover Academy for International Studies,Fairfield-Suisun Unified,Solano,FSUSD
B. Gale Wilson Elementary,Fairfield-Suisun Unified,Solano,FSUSD
Oakbrook Elementary,Fairfield-Suisun Unified,Solano,FSUSD
District Aggregate,Solano County Office of Education,Solano,SCOE
Elite Public,Solano County Office of Education,Solano,SCOE
Solano County Juvenile Detention Facility - Evergreen Academy,Solano County Office of Education,Solano,SCOE
Solano County Special Education,Solano County Office of Education,Solano,SCOE
Solano County Community,Solano County Office of Education,Solano,SCOE
District Aggregate,Travis Unified,Solano,TUSD
Travis Education Center,Travis Unified,Solano,TUSD
Travis Independent Study,Travis Unified,Solano,TUSD
Vanden High,Travis Unified,Solano,TUSD
Center Elementary,Travis Unified,Solano,TUSD
Golden West Middle,Travis Unified,Solano,TUSD
Travis Elementary,Travis Unified,Solano,TUSD
Scandia Elementary,Travis Unified,Solano,TUSD
Cambridge Elementary,Travis Unified,Solano,TUSD
Foxboro Elementary,Travis Unified,Solano,TUSD
Travis Community Day,Travis Unified,Solano,TUSD
District Aggregate,Vacaville Unified,Solano,VUSD
Kairos Public,Vacaville Unified,Solano,VUSD
Sierra Vista K-8,Vacaville Unified,Solano,VUSD
Ernest Kimme Charter Academy,Vacaville Unified,Solano,VUSD
Shereene Wilkerson Academy of Excellence,Vacaville Unified,Solano,VUSD
Will C. Wood High,Vacaville Unified,Solano,VUSD
Buckingham Collegiate Charter Academy,Vacaville Unified,Solano,VUSD
Vacaville High,Vacaville Unified,Solano,VUSD
Alamo Elementary,Vacaville Unified,Solano,VUSD
Edwin Markham Elementary,Vacaville Unified,Solano,VUSD
Eugene Padan Elementary,Vacaville Unified,Solano,VUSD
Fairmont Charter Elementary,Vacaville Unified,Solano,VUSD
Hemlock Elementary,Vacaville Unified,Solano,VUSD
Willis Jepson Middle,Vacaville Unified,Solano,VUSD
Orchard Elementary,Vacaville Unified,Solano,VUSD
Vaca Pena Middle,Vacaville Unified,Solano,VUSD
Jean Callison Elementary,Vacaville Unified,Solano,VUSD
